name,user,stars,review
Pakwash Provincial Park,Joan Mallyon,4,Nice quiet provincial park. Call if you want a reservation as they are not on the computerized  system
Pakwash Provincial Park,Kevin A. Sandberg,5,I have always came here in my childhood and now I bring my child here every weekend to play and explore the beauty of this area.
Pakwash Provincial Park,Paul Swiatkowski,5,
Pakwash Provincial Park,Jesse Richards,4,
Pakwash Provincial Park,Rudy Kornelsen,4,
Pakwash Provincial Park,Alain Vallee,5,
